titulo,subtitulo,primer_parrafo,seccion
"Carlos Robledo Puch, el criminal de 20 años que estremeció a la Argentina",Cometió 11 asesinatos y cumple medio siglo preso,"El domingo 27 de febrero de 1972, los lectores de La Opinión se encontraron, en el suplemento cultural, con una crónica que no hablaba de libros, cine o música. Su autor hurgaba en una trayectoria de alguien que muy lejos estaba de ser de un artista, y que era noticia desde hacía tres semanas. Mejor dicho: era la única noticia de la que hablaba el país y La Opinión no había cubierto el caso. Osvaldo Soriano reseñó las andanzas criminales de Carlos Robledo Puch, de veinte años, detenido el 4 de febrero con un historial escalofriante de once asesinatos. Tal era la magnitud del caso que el diario de Jacobo Timerman decidió reseñar los pormenores en una crónica publicada en el suplemento de Cultura y que se volvería histórica. Si no se puede pensar el fusilamiento de Severino Di Giovanni sin el relato de Roberto Arlt, la historia del principal asesino múltiple de la historia criminal argentina iba a ser inseparable de El caso Robledo Puch.",Cultura
La nebulosa de arena y la conquista del espacio poético,De Arte no entiendo nada,"En la década fría de los ´90, de pronto “brotó ese yuyo verde”, como dice Homero Expósito en el tango. Y así, la conquista del género dejó de pedir permiso, en el decir de la rima con naftalina.",Cultura
"Vic Morrow, el actor que marcó una época con Combate y murió en la mayor tragedia de la historia de Hollywood",Fue decapitado por la hélice de un helicóptero ,"El accidente fatal que involucró a Alec Baldwin trajó a la memoria hechos similares con armas de fogueo en filmaciones de Hollywood, como las muertes de Jon-Erik Hexum y Brandon Lee, en 1984 y 1993; y, a nivel local, el accidente fatal de César Pierry. Sin embargo, antes de las muertes del actor de Viajeros y del hijo de Bruce Lee, hubo otra muerte trágica en un set de filmación, y que sacudió a la Meca del cine: la decapitación de Vic Morrow mientras se filmaba la película de La Dimensión Desconocida.",Cultura
Nirvana vuelve a escalar en las listas de reproducciones gracias a The Batman,Un nuevo fenómeno de revival gracias al cine y las series,"Luego de 31 años de su lanzamiento, ""Something in the Way"", de Nirvana, alcanzó el número 46 de Billboard HOT 100 chart. El motivo se debe a que la canción apareció en The Batman, protagonizada por Robert Pattinson y dirigida por Matt Reeves.",Cultura
"Hallaron muerta a una actriz de ""Elvis"" ",Shonka Dukureh tenía 44 años ,"La actriz Shonka Dukureh, que interpretó a Big Mama Thornton en la exitosa película biográfica Elvis, fue hallada sin vida en el dormitorio de su casa en Nashville, en el sureño estado de Tennessee. Tenía 44 años. ",Cultura
"La historia de Callejero Fino, el rapero que se reinventó en prisión y ahora lleva el RKT al Luna Park","""La música salva vidas""","El género musical RKT llegará al estadio Luna Park de la mano de Callejero Fino, uno de los referentes indiscutibles de ese circuito, que hasta ahora estaba en prisión domiciliaria y días atrás anunció un primer concierto tras haber cumplido una condena de seis años tras un delito cometido cuando era adolescente. ",Cultura
El Indio Solari publica cuatro canciones del show de Los Fundamentalistas en La Plata,Nuevo archivo ricotero,"Tal como viene haciendo en los últimos meses, el Indio Solari sorprendió con una nueva entrega de lo que dejó el show de Los Fundamentalistas del Aire Acondicionado en diciembre pasado. Pero la novedad, para la buena fortuna del público ricotero, no quedó ahí. El cantante contó en su cuenta de Twitter que, desde este lunes y hasta el jueves, la banda subirá a su cuenta de YouTube cuatro temas de su presentación en diciembre en el Estadio Único de La Plata.",Cultura
¿Steven Spielberg al frente de una película de Marvel?,"Se rumorea que podría dirigir ""Los 4 Fantásticos"" ","Marvel decidió apostar fuerte para la película de Los 4 Fantásticos y entabló relaciones con Steven Spielberg. El proyecto se quedó sin director con la salida de John Watts, el responsable de Spider-Man: No Way Home, y desde entonces se dispararon los rumores que ahora alcanzan al realizador de E. T. y Jurassic Park.",Cultura
"James Caan: de El Padrino a Misery, cuatro películas para ver en TV y streaming en Argentina ",Murió este jueves a los 82 años,"Este jueves se conoció la noticia de que el actor estadounidense James Caan murió a los 82 años. Recordado por papeles memorables como el de Santino ""Sonny"" Corleone en El Padrino y el del indefenso Paul Sheldon en Misery, el neoyorquino dejó una prolífica carrera dentro del cine.",Cultura
Murió el actor James Caan,Tenía 82 años,"El reconocido actor estadounidense James Caan, recordado por papeles memorables como Sonny Corleone en El Padrino y el indefenso Paul Sheldon en Misery, falleció este miércoles a la noche a los 82 años. La noticia fue confirmada este jueves por sus familiares a través de un mensaje en la cuenta oficial del actor en Twitter, en el que agradecieron las expresiones de cariño y solicitaron respetar la privacidad de sus allegados.",Cultura
Teorema de los favores y traiciones,De Arte no entiendo nada,"“Siento la alianza más perfecta”, dice Miguel Abuelo en el “Himno de mi corazón. Es ahí donde el abrazo puede tener muchas lecturas de favores y traiciones. Hay formas de ordenar los recuerdos de algunas uniones traumáticas, por ejemplo; dicen que la infancia se reconoce instantáneamente cuando uno escucha una canción que nos transporta a esa etapa. Así mismo la memoria es regente también del favor de un amigo para saber ser agradecido en momentos difíciles cuando la mano tendida nos ofrece luz en el alma. Ese tesoro de la buena amistad debe ser recíproco con quien nos ha ayudado.",Cultura
Spotify: cómo funciona la aplicación que arma playlist según tus artistas favoritos,Every Noise at Once crea mapas de géneros musicales ,"Si alguna vez te preguntaste cómo suena el discofox español de los años ‘70, o la salsa choke ecuatoriana de finales del siglo, o el hyperpop británico del ‘10, o post-hardcore japonés de la misma épica, seguro que la página Every Noise at Once será un campo de exploración sin precedentes. ",Cultura
La conquista de tu sonrisa ,De Arte no entiendo nada,"En los años en los que se impuso el slogan “sonría, lo estamos filmando”, también se estaba sembrando el “jajaja” vacío de la sonrisa virtual actual. La tecnología es una formula binaria, llena de ""ceros"" y ""unos"", opuesta a la lucha por los derechos igualitarios. Es la programación de vivir entre la contradicción del goce que nos conquista y la rabia por los desniveles que eso provoca. Si bien las realidades de la sonrisa asoman lentamente en las búsquedas de igualdad, los principios del siglo se ven colmados de capilaridad conceptual y lento resultado transformador. Entonces la impaciencia de lo diario se nos mete donde el final debe ser instantáneo.",Cultura
"La vida y el legado Jacques Cousteau, el señor de los mares",El oceanógrafo francés murió hace hoy 25 años,"Una de las marcas de la segunda mitad del siglo XX en cuanto a los avances de la ciencia fue la aparición de una figura: la del divulgador. Una persona con conocimientos sólidos en alguna materia podía entrar a los hogares de todo el mundo a través de los instrumentos de la industria cultural, como libros, películas y series de TV. Al menos tres hombres destacaron en distintas ramas: el estadounidense Carl Sagan explicó el Universo y sus confines desde la serie Cosmos, mientras que el español Félix Rodríguez de la Fuente maravilló con sus documentales sobre la vida animal. El mar y sus secretos fueron el tema de un francés: Jacques-Yves Cousteau.",Cultura
"Quién fue el ""Coronel"" Parker, el controvertido manager de Elvis Presley","Lo llevó al estrellato, pero también lo enfrentó con su peor versión","El 14 de julio próximo se estrenará en la Argentina Elvis, una nueva película biográfica sobre la figura del ""Rey del Rock & Roll"", pero esta vez centrada en la tumultuosa relación que la leyenda de la música mantuvo con su manager, el “Coronel"" Tom Parker, quien es interpretado en la pantalla por el multipremiado Tom Hanks.",Cultura
Brad Pitt dice que podría dejar la actuación este año,"La estrella de Hollywood se ve fuera, por decisión propia, ""en este semestre o trimestre""","Brad Pitt dio una entrevista en la que formuló un anuncio que sorprendió a todos: el actor dijo que está por dejar la actuación. Y podría ser en este mismo 2022, en ""este semestre o trimestre"".",Cultura
Carlos Gardel y el muñeco de madera que lo ligó con Astor Piazzolla,Lo llevaba consigo cuando murió hace 87 años en Medellín,"Un día, a mediados del siglo pasado, en Nueva York, el músico Andrés D´Aquila vio en un local a la calle que se vendía una pieza de madera por 20 dólares. Era un gaucho con una guitarra y se notaba que estaba chamuscado por el contacto con el fuego. Un cartelito indicaba: “Perteneció a un cantor argentino de tangos”. D´Aquila reconoció la firma tallada del autor, un apellido que conocía bien. Quiso comprar el muñeco, pero no tenía dinero suficiente y se comprometió a pasar al día siguiente. Sin embargo, el vendedor no se lo reservó y, cuando regresó, ya lo había vendido. El muñeco había sido tallado a pocas cuadras de ese local neoyorquino y había regresado de manera inexplicable a la Gran Manzana tras ser recuperado entre las pertenencias que llevaba Carlos Gardel al momento de su muerte. Más aún: D´Aquila era vecino del hombre que lo había tallado y fue el primer profesor de música de su hijo, quien le entregó el gaucho de madera al cantor.",Cultura
Las nuevas generaciones de músicos mantienen vivo el legado de Carlos Gardel,El concierto del ukelelista Julián Rodríguez y la presentación Las guitarras de Gardel,"Cada día canta mejor y a 87 años de su trágica muerte en un accidente aéreo en Medellín Carlos Gardel está más presente que nunca a partir de la difusión de su legado por parte de nuevas generaciones de músicos, que este viernes le rendirán distintos homenajes.",Cultura
"Horacio González, tan cercano como siempre","Homenaje en la Biblioteca Nacional, a un año de su muerte","Se cumplió un año de la muerte de Horacio González y sus amigos, su familia, sus discípulos, sus lectores, sus editores, quienes admiraron su obra pero también al hombre que fue, lo recordaron con una ""maratón"" en la Biblioteca Nacional, el lugar al que el sociólogo le imprimió su sello, en una gestión de puertas abiertas y abierta también al debate y la incorporación permanente de temas, que fue para él una suerte de segunda casa. Hubo música, palabras, libros, recuerdos, a lo largo de toda una tarde que culminó con asamblea, micrófono abierto en el que se volcaron todos los recuerdos y emociones, y choripaneada. ""Horacio fue un hombre de la conversada amistad, y queremos que este día sea contraeña para todas las conversaciones"", explicaron desde la biblioteca. ",Cultura
El veneno del optimismo,De Arte no entiendo nada,"El padecimiento de lo malo deja su aprendizaje para un verdadero trabajo de construcción espiritual. Es necesario afinar el concepto del optimismo cuando todo en la época viral es de una positividad fofa. Así lo dice la frase: Aprendí todo lo malo, aprendí todo lo bueno... en el tango ""Las cuarenta"".",Cultura
Traigan la cabeza de Paul McCartney,La verdadera historia del beatle falso ,"Uno de los rasgos distintivos a la hora de separar al hombre de la bestia -con la puntual excepción de ballenas y lemmings- acaso sea la feliz propensión del primero a la psicosis colectiva que puede llevarlo a danzar junto a las hogueras del nazismo como, por ejemplo, sostener conjuras mucho más modestas pero no por eso menos atendibles. Uno de los ejemplos más bizarros de semejante delirio -una historia digna de un capítulo doble de Los Expedientes X- fue la fiebre ""Paul está muerto"" a fines de los 60. La vigorosa leyenda urbana aseguraba que un tal William Campbell -sosías ""descubierto"" por el aparato beatle a partir de un concurso de dobles- había ocupado el sitio del bajista zurdo para asegurar la continuidad de la banda más exitosa de la historia de la música popular.",Cultura
"Fito Páez no para de agotar shows: por qué estalló la ""Páez-manía"" a 30 años de El amor después del amor",Ya vendió 60 mil tickets sólo para Buenos Aires,"La “Paezmanía” no se detiene. A 30 años del lanzamiento de El amor después del amor, el disco más vendido del rock nacional, Fito Páez agotó este miércoles su cuarto show en el estadio Movistar Arena. En poco más de media hora se agotaron los 15 mil tickets y los productores anunciaron la quinta fecha, con un final previsible: volver a agotar en cuestión de minutos.",Cultura
La piña que enseña,De Arte no entiendo nada,"En la calesita de la vida, ver la piña antes de recibirla puede llegar a ser la traducción de un símbolo que llama la atención en espacios de sociedades secretas. Las épocas pueden ser disimiles y asimétricas en lo que llamamos progresos y avances. Lo que no se modifica, en cambio, es el espíritu salvaje por sobrevivir y esquivar los accidentes geográficos de la inseguridad emocional que nacen naturalmente en la doble línea amarilla de la ruta de nuestra existencia.",Cultura
"Murió Paula Rego, la pintora que llevó el debate del aborto al arte",Tenía 87 años y fue la artista plástica más importante de Portugal,"La pintora portuguesa Paula Rego, la artista plástica más importante de ese país en el siglo XX, falleció este miércoles en Londres, donde residía. Una fuente de la familia confirmó el deceso de quien se hizo conocida por desafiar los cánones estéticos de corporalidad femenina y en especial por una impactante serie donde denunciaba el dolor y la humillación que aún sufren muchas mujeres al tener que recurrir al aborto clandestino.",Cultura
"Joaquín Sabina tendrá que pagar 2,5 millones de euros por derechos de autor no declarados",Irregularidades para pagar menos impuestos ,"Joaquín Sabina tendrá que pagar 2,5 millones de euros al ministerio de Hacienda español. Es por no haber declarado sus derechos de autor en los años 2008, 2009 y 2010. Así lo indicó este miércoles la justicia española, que había desestimado el recurso que impuso el cantante.",Cultura
La muerte verde de Plainpalais,De Arte no entiendo nada,"Las épocas van cambiando en relación al mercado de la muerte, y la humanidad sigue enganchada en la trampa de permanecer en la guerra perdida. Si bien está claro que nacemos para morir, nos resistimos al destino natural de este viaje donde todos somos pasajeros.",Cultura
La mirada que habla en la justicia,De Arte no entiendo nada,"Solo “La mirada” puede conectar a la comunidad, la justicia y la belleza. Una metáfora que resume resultados de participación que dejan huellas.",Cultura
"A 30 años de El amor después del amor, el disco de Fito Páez que revolucionó al rock y marcó a una generación",El perfume que lleva el dolor  ,El amor después del amor,Cultura
"A 28 años de la muerte de Juan Carlos Onetti, la historia de amor prohibido con Idea Vilariño","""Éramos dos monstruos""","Juan Carlos Onetti estaba enamorado de ella. Pero se lamentaba. Decía que ella no sentía lo mismo por él. Que no sentía que lo demostrara. “Con la cabeza lo entiendo, pero con el corazón no”, le decía. ",Cultura
Presentan un libro con relatos de enfermeros ,Un homenaje a la profesión impulsado por una compañía argentina de salud,"El próximo martes 31 de mayo a las 18:30 horas en el Teatro BRISA, ubicado en Thames 1426 de la Ciudad de Buenos Aires, con la presencia del Dr. Jorge Máximo Salvat, prestigioso neurocirujano argentino, se presentará el libro “Historias de Enfermeros Latinoamericanos” que reúne los relatos de enfermeros de diversos países del continente acompañado por ilustraciones de destacados artistas.",Cultura
El día que el hombre venció al Everest y llegó a la cúspide del mundo,Cómo fue que Edmund Hillary y Tenzing Norgay conquistaron el pico más alto del planeta,"El 29 de mayo de 1953, dos hombres llegaron a la cima del monte Everest. Habían escalado 8848 metros para arribar al pico más alto de la Tierra. Edmund Hillary y Tenzing Norgay hicieron cumbre en el Techo del Mundo, en lo que fue una de las grandes hazañas del siglo XX.",Cultura
Murió el bandoneonista Juan José Mosalini,Tenía 78 años y residía en Francia desde 1977,"El compositor y bandoneonista argentino Juan José Mosalini, de gran recorrido local como partícipe de las orquestas de José Basso, Horacio Salgán y Osvaldo Pugliese, falleció en las últimas horas a los 78 años en Francia, donde residía. Así lo informó la Academia Nacional de Tango.",Cultura
"""Hay Francisco para rato""",Encuentro entre el Papa y Marmo,"El artista argentino Alejandro Marmo fue recibido en el Vaticano por el papa Francisco. Le presentó una pieza de San Martín, su próxima obra que forma parte de la serie “Historia de la Argentina” y que está destinada a ser emplazada en breve en un espacio público de América Latina. El encuentro se produjo en la casa de Santa Marta, la residencia privada del Papa. ",Cultura
Una charla de Pedro Saborido y Miguel Rep en Caras y Caretas,"La Legislatura porteña declarará ""personalidad destacada"" de la cultura al guionista y escritor","Este martes 24 de mayo, a las 20.30 horas, la Legislatura de la Ciudad declarará personalidad destacada de la cultura al guionista y escritor Pedro Saborido. El evento será en el Caras y Caretas de San Telmo (Venezuela 330) y contará con la participación del dibujante de Página/12 Miguel Rep. ",Cultura
Banksy llega a la Argentina con una exposición de 70 obras,Una muestra dedicada al artista se verá en agosto,"El grafitero inglés conocido como Banksy se convirtió en los últimos años en uno de los artistas más populares del mundo. Sus intervenciones en el espacio público y hechos como la subasta de 25 millones de una obra que se autodestruyó llamaron la atención. Ahora, tiene una muestra dedicada a su producción. Se trata de Bansky Genius or Vandal?, que llegará a la Argentina en agosto.",Cultura
"Vangelis, el músico griego que marcó una época del fútbol argentino",Entre sus muchos éxitos hay uno grabado en la memoria de los futboleros,"""Vangelis Papathanassiou ya no está con nosotros"". Con este escueto mensaje por Twitter se dio a conocer a conocer la noticia de la muerte de uno de los músicos más conocidos del mundo, autor de innumerables bandas sonoras. ",Cultura
La segunda temporada de El juego del calamar ya tiene fecha de estreno,Los adelantos de su creador ,"El creador de la popular serie El juego del calamar, Hwang Dong-hyuk, le puso fecha a la segunda temporada. Si bien advirtió que no tiene un guion definido, sino algunas pocas ideas, las negociaciones con Netflix ya está casi cerradas. Todo indica que para finales de 2023 la producción coreana tendrá su próximo lanzamiento. ",Cultura
El paraíso de las interespecies,De Arte no entiendo nada,"Caminar en soledad por la noche e imaginar cosas horribles causa un dolor sin cuerpo que puede ayudar a la creación de nuevas vidas y, por carácter transitivo, nuevas relaciones en el universo de las interespecies.",Cultura
La leyenda del linyera,,"Todos o casi todos los barrios siempre tuvieron su linyera y Villa Real, por supuesto, también tuvo el suyo. Era un hombre bastante grandote, con una barba muy tupida, pelo largo hasta la cintura, muy sucio, vestido de forma harapienta y al que lo habían bautizado “lechuguita”.",Cultura
Luca Prodan : el hippie que de rabia se volvió punk,El líder de Sumo hoy cumpliría 69 años ,"El viejo Parakultural de la calle Venezuela fue, para algunos, el lugar donde se gestaron muchos de los proyectos artístico culturales que mas tarde explotarían y saltarían al mainstream. Para mi fue una especie de trinchera contracultural, un hogar trash-hardcore que Omar Viola y Horacito Gabin habían abierto a fuerza de trabajo y pura fe en el underground. ",Cultura
Cuatro días de Mercado de Industrias Culturales ,En el Centro Cultural Néstor Kirchner habrá rondas de negocios y más de 150 actividades ,"El Ministerio de Cultura -a través de la Secretaría de Desarrollo Cultural - llevará a cabo una nueva edición del Mercado de Industrias Culturales Argentinas (MICA), que tendrá lugar del 19 al 22 de mayo en el Centro Cultural Kirchner, con entrada libre y gratuita. En su edición 2022, el MICA recibirá a más de 90 compradores y compradoras internacionales de 23 países; a más de 300 compradores y compradoras nacionales, y a miles de productoras y productores de bienes y servicios culturales de las provincias argentinas que participarán en las rondas de negocios y de las más de 150 propuestas de programación destinadas a profundizar conocimientos, intercambiar información y articular vínculos entre los/as protagonistas de todos los sectores.La programación completa de estas cuatro jornadas del incluye múltiples propuestas vinculadas con los 15 sectores que forman parte de este Mercado (audiovisual, artes visuales, circo, danza, diseño, editorial, folklore, gastronomía, hip hop, infancias, música, música académica, tango, teatro y videojuegos), programación artística y actividades producidas por el Programa MICA INCUBA, el Mercado Nacional de Artesanías Tradicionales e Innovadoras Argentinas (MATRIA) y por el Mercado de Cooperativismo y Culturas Autogestivas Argentinas (MARCA).",Cultura
Espejismo de una Drag en botines,Teatro,"El subsuelo del bar Brilla Cornelia -Juan Domingo Perón 1926- abre sus puertas este sábado a las 20.30 para presentar la obra de 40 minutos: Espejismo de una Drag en Botines, una original representación sobre textos de Alejandro Urdapilleta donde la “Drag Queen Tayda”, explora su historia de vida frente al espejo de su camarín antes de salir a escena.",Cultura
La nueva canción de Trueno que homenajea a Santiago Maldonado y las víctimas de la dictadura,"El rapero lanzó ""Bien o mal"", su nuevo disco","Trueno, el rapero argentino del momento, estrenó su segundo disco titulado ""Bien o mal"", en el que sacó a lucir su versión más contestataria con varias canciones que muestran su compromiso con la realidad y la historia argentina, con menciones los pueblos originarios, Santiago Maldonado, el gatillo fácil y la dictadura. ",Cultura
El termómetro de la nueva soberbia nerd,De Arte no entiendo nada,"Una de las mayores muestras de poder es dar órdenes en voz baja, pero en el mundo que viene rodando de 0 a 100 en milisegundos, esa pose de la soberbia encuentra incertidumbre y los poderosos se deben actualizar. Sube la temperatura, y la fiebre en el cambio de era es una infección de pantalla. Las supernovas iluminan y los agujeros negros pasan de ser orugas a mariposas led. Todo presente parece antiguo.",Cultura
"El emocionante relato de Fito Páez en un homenaje a Fabiana Cantilo: ""Me sacó de la cama en tardes interminables de dolor""",La cantante fue declarada Personalidad Destacada de la Cultura,"La cantante y referente del rock nacional fue distinguida como personalidad destacada de la cultura de la Ciudad este martes en la Legislatura porteña. Tras el acto, brindó un concierto en el que cantó canciones de tango y luego de rock. En el Salón Dorado, fue sorprendida por Fito Páez, quien brindó un emocionante discurso sobre su relación con Cantilo, a quien definió como la ""chica de oro"". ",Cultura
Presentarán el nuevo libro de Nunzia Locatelli y Cintia Suárez,"La obra se llama ""¿Qué han hecho?"" ","Juan Pablo I hoy vuelve a la escena mundial por un acontecimiento trascendental acaecido en Argentina: el Milagro argentino. La obra incluye testimonios exclusivos sobre un hecho prodigioso cuyos protagonistas son una niña de Paraná, un sacerdote porteño y Juan Pablo I.",Cultura
"Murió otro hijo de Nick Cave, el segundo en siete años","""Con mucha tristeza puedo confirmar que Jethro ha fallecido"", comunicó el artista","El músico australiano Nick Cave anunció este lunes la muerte de su hijo mayor, Jethro Lazenby, a los 30 años. La noticia llega siete años después de la pérdida de Arthur Cave, otro de los hijos del artista, que en julio de 2015 cayó desde un acantilado en la ciudad costera de Brighton, en Inglaterra.",Cultura
El fomento a la cultura no debe tener caducidad,,"En las últimas semanas, una gran cantidad de organizaciones sociales, de artistas y de trabajadores se están movilizando para garantizar que el fomento de numerosas actividades de la cultura y la comunicación no tenga fecha de caducidad, ya que desde hace décadas constituye una política de Estado en la Argentina.",Cultura
"Doctor Strange en el Multiverso de la Locura: la Buena, el Mago y la Bruja",El gran regreso de Sam Raimi al cine de superhéroes,"Desde julio de 1963, de la mano de Stan Lee y Steve Ditko, el neurocirujano Stephen Strange pasó de ser un médico egocéntrico y codicioso a ""el Maestro de las Artes Místicas"", el nexo entre los superhéroes -muchas veces más terrenales que los de su competencia- de Marvel y lo sobrenatural.",Cultura
La invasión metafísica de los 90,De arte no entiendo nada,"En estos tiempos vacíos se aleja y vuelve la “no realidad”, como una cinta elástica que anuncia el cierre de los 70 para renovar la fantasía que se mete por las fisuras del conurbano caliente.",Cultura
Hoy cumplo 96 años,Tributo a la esperanza,"96. Hoy cumplo 96 años y la cifra impacta pero no me inquieta porque decidí leerla en hebreo, de derecha a izquierda, una trampa que me retrotrae a mis 69 años, aunque imagino (o finjo) que tengo 50. ",Cultura
Los detalles de la serie que Robert De Niro  grabará en Argentina con Luis Brandoni,"""Nada"" se estrenará en 2023","El famoso actor estadounidense Robert De Niro llegó a la Argentina, donde permanecerá en los próximos días para participar del rodaje de una serie que protagonizará junto a Luis Brandoni, con quien mantiene una amistad desde hace décadas. La ficción se llamará “Nada”, y se estrenaría en 2023 a través de la plataforma de streaming Star +.",Cultura
"La autorreferencia, mi pecado favorito",,"El poder se ejerce preguntando puntualmente algo que uno ya sabe, en cambio la venta del poder inexistente es afirmar todo el tiempo lo que no es.",Cultura
La fascinante travesía de la Kon-Tiki: 101 días en balsa por el Pacífico para probar la llegada de americanos a la Polinesia,A 75 años del comienzo del histórico viaje de Thor Heyerdahl,"El 28 de abril de 1947, los peruanos que pasaron por el puerto limeño de El Callo presenciaron el comienzo de una de las experiencias más notables del siglo XX, un desafío aventurero sin precedentes. Seis hombres, a bordo de una balsa a vela bautizada como Kon-Tiki, iban a navegar rumbo a la Polinesia. Su objetivo: demostrar que los antiguos pobladores de América pudieron haber atravesado el Pacífico. Al frente del grupo se hallaba el noruego Thor Heyerdahl, que iba a convertirse en uno de los grandes exploradores del siglo.",Cultura
"El bombardeo de Guernica, la masacre que inmortalizó Picasso",Cómo fue el cruento ataque perpetrado hace 85 años en la Guerra Civil Española,"La Guerra Civil Española se acercaba a su primer año desde el alzamiento de 1936 cuando, el 26 de abril de 1937, se produjo uno de los hechos determinantes de la contienda, acaso el más célebre en los tres años de conflicto: el bombardeo de Guernica. La sola mención de la guerra que derivó en la dictadura de Francisco Franco tiene, como gran referencia, el ataque de la aviación alemana sobre esa ciudad vasca, y que, más allá de simpatías o antipatías por los republicanos, horrorizó al mundo. Fue el bautismo de fuego de la maquinaria bélica del nazismo.",Cultura
"Cervantes y Shakespeare, unidos por el 23 de abril","El mundo recuerda a los dos autores emblemáticos del castellano y el inglés, bajo la idea de que murieron el mismo día","El calendario señala que el 23 de abril es el Día Internacional del Libro por el aniversario de las muertes de los dos más grandes exponentes de la literatura en castellano y en inglés: Miguel de Cervantes y William Shakespeare. La Unesco instituyó la celebración, al tiempo que la ONU también toma la fecha como Día de la Lengua Española y Día de la Lengua Inglesa.",Cultura
La interna en el trabajo como épica de la esperanza,De arte no entiendo nada,"La semana pasada, después de terminar un libro aburridísimo, me di cuenta que la mala literatura tiene algo muy luminoso: Despertar la esperanza por descubrir buenos escritores. Cuando uno percibe la interna de un espacio, el tiempo deja plasmada una frase que lo sintetiza. Generalmente la interna es la violencia sutil que se ramifica en el pasillo de las promesas no cumplidas. El mejor ejemplo de la dicotomía en un mismo universo lo citó, si no me equivoco, Don Julio Cortázar en el ida y vuelta de sus publicaciones: “Cuando les hablo de publicar literatura, las editoriales me contestan con las necesidades del mercado y cuando les pregunto por el dinero, las editoriales me contestan con literatura”.",Cultura
Netflix perdió 200 mil suscripciones en el primer trimestre de 2022  ,Otros dos millones de usuarios podrían dar de baja sus cuentas en los próximos meses,"El gigante del streaming Netflix perdió alrededor de 200.000 suscriptores durante el primer trimestre de este año, y sus ejecutivos prevén que otros dos millones de usuarios podrían dar de baja sus cuentas entre abril y junio, por primera vez en una década.",Cultura
"Vargas Llosa, aislado en Madrid, tras haber dado positivo de coronavirus",El Nobel peruano tiene previsto asistir a la Feria del Libro de Buenos Aires ,"El escritor peruano Mario Vargas Llosa contrajo coronavirus y se halla aislado en su casa de Madrid. Según sus allegados, el estado de salud del Premio Nobel es bueno, pero deberá reprogramar sus actividades, que incluyen una visita a Buenos Aires en los primeros días de mayo, en el marco de la Feria del Libro.",Cultura
"Caballos, cerdos y conejos ",Amigos que juegan al Estanciero,"-¡¡¡Yo juego con el caballo!!! ¡El caballito es mío! - gritó Velarde ante sus amigos - ¿Por qué siempre vos con el caballo, viejo? – le retrucó Acuña. ",Cultura
"Historias, mitos y verdades del Titanic ",Se cumplen 110 años del naufragio en el Atlántico Norte,"La noche del 14 de abril de 1912, el Titanic golpeó un iceberg en su viaje inaugural, en el Atlántico Norte. En la madrugada del 15, el barco del que se decía que ni Dios podría hundirlo, se fue a pique. De algo más de 2200 personas que en total iban a bordo, unas 1500 perdieron la vida. Había zarpado de Southampton el 10 de abril, con destino a Nueva York. La tragedia dio pie a infinidad de relatos. El hundimiento más famoso de la historia se convirtió en una fuente casi inagotable de material.",Cultura
Una lágrima roja en Valentín Alsina,De arte no entiendo nada ,"En los años 60, vestido de cuero, se impuso el tango rojo de Sandro y el relámpago desconcertó a la paleta de colores del género canción.",Cultura
La Guerra entre el WI-FI y la Telepatía ,De arte no entiendo nada,"En esta tarde gris, como dice el gran Julio Sosa, llevo bajo el brazo el libro “La vida está en otra parte” de Milan Kundera. Instantes más tarde entro a un copetín al paso de Monte Grande y le pido al mozo la contraseña de la red inalámbrica para ahorrar datos. De pronto recibo una palmada en la espalda y apenas me doy vuelta me impacta la emoción de un encuentro soñado.",Cultura
Murió el escritor Sergio Chejfec,Tenía 65 años,"El escritor Sergio Chejfec murió este sábado a los 65 años en la ciudad de Nueva York, donde vivía y daba clases. La noticia fue confirmada por la Editorial Entropía, donde había publicado una de sus últimas obras, ""Teoría del ascensor"".",Cultura
"Murió Paul Herman, actor de ""Los Soprano""","Tenía 76 años y también se lo vio en películas como ""Buenos muchachos""","El actor Paul Herman, conocido por sus apariciones en películas como Buenos muchachos y en series como Los Soprano, falleció a los 76 años. Así lo informó su colega Michael Imperioli en Instagram.",Cultura
Baco pierde aceite en Camino Negro,De arte no entiendo nada,"En este tiempo si se le habla al corazón es mejor y puntualmente hacerlo en el broche del brindis le da el sentido a la mirada emocional. El Dios del vino lo sabe, por eso mismo es invitado a una fiesta clandestina en San Vicente para fomentar la conexión de la emoción sin pantalla. Siempre con actitud de un profesional, antes de emprender la aventura, se dispone a leer a Marechal y en la página 13 de “Adán Buenosayres” lo deja inmóvil un detalle. Es cuando duda, antes del preciso momento en el que pone “ir” en el mapa central del Waze y lo alerta el trazo rojo para un desvío imprevisto por Camino Negro.",Cultura
El mundo de la música despide a Taylor Hawkins,Repercusiones de la muerte del baterista de Foo Figthers,"Tras la inesperada noticia de su muerte a los 50 años, las redes sociales se colmaron de despedidas al baterista Taylor Hawkins. El músico, que integraba la banda Foo Fighters, falleció en la noche del viernes en Bogotá, días después de su presentación en la Argentina en el marco del Lollapalooza.",Cultura
